SIGLA_USINA,n, owner, owner_info
AURA QUEIMADA NOVA 2,23715.62391, Enel, https://www.enelgreenpower.com/pt/nossos-projetos/highlights/parque-eolico-lagoa-dos-ventos
Ventos de Sta Espe21,23501.878859,,
V DE SANTA LEIA 03,23299.524714, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
MONTE VERDE I,23125.445781, EDP Renováveis, https://www.edp.com/pt-pt/historias-edp/brazil-maior-complexo-eolico-grupo-edp
SAO BERNARDO,23067.645789, Auren Energia-Votorantim S.A., https://ri.aurenenergia.com.br/esg/estrutura-acionaria/
SANTO ANTERO,23030.252285, Auren Energia-Votorantim S.A., https://ri.aurenenergia.com.br/esg/estrutura-acionaria/
VSantaLuzia12,22867.785379, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/umari
EOL Aroeira 02,22723.591969, Enel, https://www.avsibrasil.org.br/projeto/complexo-eolico-aroeira/
V DE SANTA LEIA 04,22679.607176, , Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
Ventos de Santo Antô,22569.426929, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/relatorios-ambientais
OITIS 7,22320.80901, Iberdrola, https://www.iberdrola.com/quem-somos/nossa-atividade/energia-eolica-onshore/complexo-eolico-terrestre-oitis
V STA ANGELA 17,22229.426491, Enel, https://www.enelgreenpower.com/pt/nossos-projetos/highlights/parque-eolico-lagoa-dos-ventos
EOL Serra do Seridó,22157.939192, EDF-Renewables, https://edf-re.com.br/nossos-projetos/eolicos/
VSAOROQUE953271,22127.220142,  Enel, https://www.enelgreenpower.com/pt/nossos-projetos
SAO JANUARARIO 23,22121.287444, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
STA ALEXANDRINA,21919.669516, Auren Energia-Votorantim S.A., https://ri.aurenenergia.com.br/esg/estrutura-acionaria/
Enel Green Power 02,21830.148125, Enel, 
V STA ESPERANCA 15,21663.984505, Enel, https://www.gem.wiki/Ventos_de_Santa_Esperan%C3%A7a_wind_farm
V DE SANTA LEIA 12,21267.868626, Casa dos Ventos-TotalEnergies, https://www.thewindpower.net/owner_es_3754_casa-dos-ventos.php
MONTE VERDE II,21228.613285, EDP Renováveis, https://www.edp.com/pt-pt/historias-edp/brazil-maior-complexo-eolico-grupo-edp
VSROQUE04953732,20956.037287, Enel, https://www.enelgreenpower.com/pt/nossos-projetos
